Country,year,sex,age,suicides_no,population,suicides/100k pop,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Argentina,2015,male,75+ years,245,712691,34.38,Argentina2015,"594,749,285,413",14981,Silent,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,male,15-24 years,656,3500580,18.74,Argentina2015,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,male,55-74 years,431,3011963,14.31,Argentina2015,"594,749,285,413",14981,Boomers,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,male,25-34 years,465,3289927,14.13,Argentina2015,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,male,35-54 years,633,5166179,12.25,Argentina2015,"594,749,285,413",14981,Generation X,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,female,15-24 years,153,3394201,4.51,Argentina2015,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,female,55-74 years,125,3520779,3.55,Argentina2015,"594,749,285,413",14981,Boomers,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,female,25-34 years,114,3235582,3.52,Argentina2015,"594,749,285,413",14981,Millenials,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,female,35-54 years,166,5301368,3.13,Argentina2015,"594,749,285,413",14981,Generation X,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,female,75+ years,27,1344980,2.01,Argentina2015,"594,749,285,413",14981,Silent,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,male,5-14 years,39,3672155,1.06,Argentina2015,"594,749,285,413",14981,Generation Z,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,2015,female,5-14 years,19,3549219,0.54,Argentina2015,"594,749,285,413",14981,Generation Z,Latin America and Caribbean,30.0,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Armenia,2015,male,75+ years,12,61355,19.56,Armenia2015,"10,553,337,673",3775,Silent,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,55-74 years,16,231213,6.92,Armenia2015,"10,553,337,673",3775,Boomers,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,75+ years,5,100754,4.96,Armenia2015,"10,553,337,673",3775,Silent,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,35-54 years,15,356715,4.21,Armenia2015,"10,553,337,673",3775,Generation X,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,25-34 years,10,255540,3.91,Armenia2015,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,55-74 years,5,297936,1.68,Armenia2015,"10,553,337,673",3775,Boomers,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,15-24 years,3,212010,1.42,Armenia2015,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,35-54 years,4,412360,0.97,Armenia2015,"10,553,337,673",3775,Generation X,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,15-24 years,2,216876,0.92,Armenia2015,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
